end station name,Average trip duration,station latitude,station longitude,bikes entering
Verizon Innovation Hub 10 Ware Street,941.286075949367,42.37250864999999,-71.11305356,395
W Broadway at D St,770.401473296501,42.3391085,-71.0514432,543
W Broadway at Dorchester St,872.6603773584906,42.33595898,-71.046229,318
Walnut Ave at School St,1822.5384615384614,42.31242399,-71.09616905,39
Warren St at Chelsea St,890.6503067484663,42.371848,-71.060292,652
Wasgott Playground,1178.25,42.40933007,-71.06381878,20
Washington Sq,1091.4601226993866,42.33985827,-71.13421171,163
Washington St @ New Washington St (Temp Winter Station),962.7414634146342,42.38103732,-71.08709779,205
Washington St at Brock St,1640.2592592592594,42.34895285,-71.16031677,81
Washington St at Lenox St,828.9446366782007,42.33509899,-71.07903779,289
Washington St at Melnea Cass Blvd,681.6555555555556,42.332817,-71.081198,270
Washington St at Rutland St,743.6805444355484,42.3385146,-71.07404083,1249
Washington St at Talbot Ave,1514.235294117647,42.290333,-71.071806,17
Washington St at Walnut St,1499.2857142857142,42.35145812,-71.20764971,7
Washington St at Waltham St,659.4688644688645,42.34157472,-71.0689044,546
